col_name,val_rmse_0,val_rmse_1,val_rmse_2,val_rmse_3,val_rmse_4,val_rsq_0,val_rsq_1,val_rsq_2,val_rsq_3,val_rsq_4,val_mean_rmse,val_mean_rsq,val_var_rmse,val_var_rsq,rmse_delta
totals_pageviews,2.1512480683767348,2.23482407688107,2.229345935843728,1.9367447462203364,1.9155198209692064,0.12520155345648176,0.11106054197606186,0.15702717414873635,0.02515358040436355,0.061975120639987336,2.0935365296582154,0.09608359412512617,0.01960211988721388,0.002196147855712059,0.08424646712429151
totals_newVisits,2.15328119858927,2.2201181220414297,2.2409406272762955,1.929730160471115,1.8961907098722943,0.12354723972171955,0.12272113941542395,0.14823587203910893,0.03220227432611078,0.08081043405530197,2.088052163650081,0.10150339191153304,0.0213895601622468,0.0016701784275440171,0.005484366008134511
trafficSource_source,2.153397118935151,2.2519256933112892,2.187980380988579,1.9548997768208012,1.8551646315224473,0.12345287077266376,0.09740356706650188,0.1880197007092702,0.00679151303288672,0.12015540835676075,2.0806735203156537,0.10716461198761666,0.02256081687536623,0.0034283301056935458,0.007378643334427171
visitStartTimeYear,2.1758709748869496,2.2607368411623723,2.168086616668558,1.9508431597209182,1.8434117772519838,0.1050612886802268,0.09032654015727883,0.2027181041813213,0.010909254737100915,0.13126809333771317,2.0797898739381564,0.1080566562187282,0.024454311476874414,0.003852101480075793,0.0008836463774972714
trafficSource_keyword,2.184389604713824,2.24462835412874,2.1863593282631246,1.964727059692285,1.8476858945247918,0.0980401232232696,0.10324379573148668,0.18922243112278703,-0.0032193059269520763,0.12723495583798283,2.085558048264553,0.10290439999771481,0.023283045226281208,0.0038657591563986044,-0.005768174326396647
visitStartTimeDayofyear,2.19813613375168,2.2228770634904618,2.1857129015138397,1.915573542027717,1.7890626068409363,0.08665219960474424,0.12053939522942292,0.18970179498727924,0.04634983616425903,0.18173846892652257,2.0622724495249267,0.1249963389824456,0.03113090310123965,0.00301637502502984,0.017517424413229676
trafficSource_adwordsClickInfo.isVideoAd,2.2175008766545625,2.2432935090425774,2.1856941863427433,1.883823784014353,1.8079290061704258,0.07048882208602114,0.10431005214131783,0.18971567128787759,0.07770048693110942,0.16438966636079,2.0676482724449325,0.12132093976142319,0.033697485947350475,0.002261754580315637,-0.005375822920005824
visitStartTimeIs_year_start,2.2338430897586568,2.2418118344108517,2.1608316562702417,1.8909693510235854,1.8033543008989175,0.05673798805031504,0.10549285126473507,0.20804498620200618,0.07069043426649813,0.1686131006047369,2.0661620464724506,0.12191587207765826,0.03353850139434072,0.00334815462196074,-0.003889596947523888
trafficSource_adwordsClickInfo.adNetworkType,2.2123005622219254,2.2331531900450345,2.2016965827312127,1.9235792720189449,1.8008185929537246,0.07484334800545123,0.1123892926354423,0.1778073652737474,0.038362025436780356,0.17094949364813206,2.0743096399941683,0.11487030499991066,0.03160343956622889,0.0029135557011308834,-0.012037190469241565
visitNumber,2.219860828145898,2.2265351717213324,2.178876837752678,1.9642621144834276,1.8034021203924486,0.06850932474111016,0.11764242057126983,0.19476246684051446,-0.002744546019150418,0.16856900829570076,2.0785874144991565,0.10934773488588896,0.02814038100065619,0.005020818530285379,-0.016314964974229795
